state,district,enrol_total_vol,enrol_stability,bio_total_vol,bio_stability,demo_total_vol,enrol_child_sum,bio_child_sum,health_index,cluster,risk_category
West Bengal,Bally Jagachha,0.0,0.0,5.0,10.0,1.0,0.0,0.0,0.00011293560349191448,1,Critical Risk
Jaipur,Near meera hospital,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.00013080649167888513,1,Critical Risk
Madanapalle,Kadiri Road,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.00013080649167888513,1,Critical Risk
Darbhanga,Near University Thana,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.00013080649167888513,1,Critical Risk
West Bengal,Naihati Anandabazar,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.00013080649167888513,1,Critical Risk
Balanagar,IDPL COLONY,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.00013080649167888513,1,Critical Risk
Tamil Nadu,Tiruvarur,0.0,0.0,3.0,3.3333333333333335,2.0,0.0,0.0,0.00015932590627036828,1,Critical Risk
West Bengal,Domjur,0.0,0.0,3.0,10.0,2.0,0.0,0.0,0.00015932590627036828,1,Critical Risk
Karnataka,Bijapur(KAR),0.0,0.0,13.0,6.256950582625914,1.0,0.0,3.0,0.00018898737573586955,1,Critical Risk
Manipur,Kangpokpi,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0001962097375183277,1,Critical Risk
Uttarakhand,Udham Singh Nagar *,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0001962097375183277,1,Critical Risk
Uttar Pradesh,Baghpat *,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0001962097375183277,1,Critical Risk
West Bengli,Hooghly,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0001962097375183277,1,Critical Risk
Odisha,Jajapur  *,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0001962097375183277,1,Critical Risk
Jammu And Kashmir,Poonch,0.0,0.0,1.0,5.0,3.0,0.0,1.0,0.00020571620904882208,1,Critical Risk
West Bengal,East midnapore,0.0,0.0,5.0,4.014916240907944,3.0,0.0,1.0,0.0002437420951707996,1,Critical Risk
Goa,Bicholim,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.00026161298335777025,1,Critical Risk
Jammu & Kashmir,Udhampur,0.0,0.0,8.0,8.333333333333334,3.0,0.0,0.0,0.0002722615097622828,1,Critical Risk
Goa,Tiswadi,0.0,0.0,2.0,6.666666666666667,4.0,0.0,0.0,0.000280625926418759,1,Critical Risk
Andaman & Nicobar Islands,Nicobars,0.0,0.0,2.0,1.750073658177636,4.0,0.0,1.0,0.000280625926418759,1,Critical Risk
Maharashtra,Hingoli *,0.0,0.0,9.0,8.0,3.0,0.0,0.0,0.00028176798129277717,1,Critical Risk
Chhatisgarh,Raipur,0.0,0.0,5.0,3.5388936786452305,4.0,0.0,2.0,0.00030914534101024216,1,Critical Risk
West Bengal,South  Twenty Four Parganas,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0003270162291972128,1,Critical Risk
Jammu & Kashmir,Doda,0.0,0.0,4.0,3.625012276362939,5.0,0.0,2.0,0.00036504211531919033,1,Critical Risk
Jammu & Kashmir,Punch,0.0,0.0,5.0,5.437518414544409,5.0,0.0,1.0,0.0003745485868496847,1,Critical Risk
Chandigarh,Mohali,0.0,0.0,6.0,4.039714877896841,5.0,0.0,2.0,0.0003840550583801791,1,Critical Risk
Jammu & Kashmir,Leh (ladakh),0.0,0.0,11.0,6.707778735729046,7.0,0.0,9.0,0.0005623939077115362,1,Critical Risk
West Bengal,South DumDum(M),0.0,0.0,6.0,10.0,8.0,0.0,0.0,0.0005802647958985068,1,Critical Risk
Odisha,ANGUL,0.0,0.0,5.0,2.857142857142857,9.0,0.0,3.0,0.0006361615702074549,1,Critical Risk
West Bengal,South 24 pargana,0.0,0.0,1.0,10.0,12.0,0.0,1.0,0.000794345421603805,1,Critical Risk
West Bangal,South 24 Parganas,0.0,0.0,1.0,10.0,13.0,0.0,0.0,0.0008597486674432476,1,Critical Risk
West Bengal,NADIA,0.0,0.0,3.0,10.0,18.0,0.0,0.0,0.0012057778397014493,1,Critical Risk
Andhra Pradesh,rangareddi,0.0,0.0,8.0,4.929291774759824,20.0,0.0,2.0,0.0013841166890328064,1,Critical Risk
West Bengal,East Midnapur,0.0,0.0,13.0,5.162481109127722,20.0,0.0,0.0,0.0014316490466852784,1,Critical Risk
Chandigarh,Rupnagar,0.0,0.0,14.0,2.6923621911310334,20.0,0.0,3.0,0.0014411555182157725,1,Critical Risk
West Bengal,South 24 parganas,0.0,0.0,5.0,10.0,24.0,0.0,0.0,0.0016172102577990935,1,Critical Risk
Meghalaya,Jaintia Hills,0.0,0.0,8.0,3.503729060226986,25.0,0.0,1.0,0.0017111329182300191,1,Critical Risk
West Bengal,Hooghiy,0.0,0.0,7.0,4.671638746969315,32.0,0.0,1.0,0.0021594491675756226,1,Critical Risk
Puducherry,Pondicherry,0.0,0.0,53.0,6.140083055977672,27.0,0.0,6.0,0.0022697306287811515,1,Critical Risk
Goa,Bardez,0.0,0.0,40.0,4.827870872310372,31.0,0.0,9.0,0.002407759482242495,1,Critical Risk
Chhattisgarh,ManendragarhChirmiriBharatpur,0.0,0.0,312.0,4.361865504170629,0.0,0.0,44.0,0.002966019117514248,1,Critical Risk
Mizoram,Hnahthial,0.0,0.0,17.0,5.197998422155146,47.0,0.0,10.0,0.0032355625704722046,1,Critical Risk
Jammu & Kashmir,Kathua,0.0,0.0,47.0,5.862637251006064,48.0,0.0,25.0,0.0035861599622264793,1,Critical Risk
Andhra Pradesh,chittoor,0.0,0.0,33.0,6.844883071575557,57.0,0.0,17.0,0.004041698573354541,1,Critical Risk
Karnataka,Chamarajanagar *,0.0,0.0,62.0,7.249362836136883,56.0,0.0,16.0,0.0042519830018994354,1,Critical Risk
Himachal Pradesh,Lahaul and Spiti,0.0,0.0,47.0,4.217966091908099,59.0,0.0,15.0,0.004305595666460348,1,Critical Risk
Andhra Pradesh,Mahabubnagar,0.0,0.0,120.0,6.019125444060663,81.0,0.0,39.0,0.006438439496654174,1,Critical Risk
Tamil Nadu,Tirupathur,0.0,0.0,59.0,8.983544554619787,93.0,0.0,50.0,0.006643383683367327,1,Critical Risk
Rajasthan,Phalodi,0.0,0.0,2.0,1.6666666666666667,204.0,0.0,0.0,0.013361275094307273,1,Critical Risk
Rajasthan,Salumbar,0.0,0.0,1.0,0.7142857142857143,213.0,0.0,0.0,0.013940397835331759,1,Critical Risk
Andaman & Nicobar Islands,South Andaman,0.0,0.0,367.0,8.881387133190902,305.0,0.0,61.0,0.02343686503272142,1,Critical Risk
Daman & Diu,Diu,0.0,0.0,773.0,6.4722521133028295,267.0,0.0,171.0,0.024811169132203322,1,Critical Risk
Rajasthan,Balotra,0.0,0.0,6.0,3.5714285714285716,503.0,0.0,0.0,0.03295487148642258,1,Critical Risk
Rajasthan,Beawar,0.0,0.0,8.0,1.714360144446038,510.0,0.0,2.0,0.03343170715035967,1,Critical Risk
Rajasthan,Kotputli-Behror,0.0,0.0,7.0,1.9880987456275063,529.0,0.0,1.0,0.03466486234977858,1,Critical Risk
Rajasthan,Didwana-Kuchaman,0.0,0.0,8.0,2.3076923076923075,720.0,0.0,1.0,0.0471663887766426,1,Critical Risk
Rajasthan,Khairthal-Tijara,0.0,0.0,15.0,3.6322262715877476,1057.0,0.0,4.0,0.06927382792524821,1,Critical Risk
Jammu & Kashmir,Rajauri,1.0,0.18373434100961863,12.0,5.277777777777778,15.0,1.0,2.0,0.3513883922626232,1,Critical Risk
Maharashtra,Ahilyanagar,1.0,0.11494252873563218,17.0,1.650724378794665,2418.0,1.0,1.0,0.3683751689244395,1,Critical Risk
Tamil Nadu,Tuticorin,1.0,0.3149731560164891,6.0,7.142857142857143,4.0,1.0,1.0,0.5104331032024751,1,Critical Risk
Chhattisgarh,Janjgir - Champa,1.0,0.3012940106740252,200.0,7.928288532484138,215.0,1.0,5.0,0.6537068736859657,1,Critical Risk
Chhattisgarh,Janjgir Champa,4.0,0.3951987053793999,192.0,6.637304096084333,236.0,4.0,21.0,0.8069736323781622,1,Critical Risk
West Bengal,Medinipur,3.0,0.33195356977168705,75.0,5.156360510066007,178.0,3.0,24.0,0.8084344550625258,1,Critical Risk
West Bengal,HOOGHLY,1.0,0.36754896349638866,32.0,3.9016516759179902,125.0,1.0,7.0,0.8196799976509122,1,Critical Risk
Jammu & Kashmir,Jammu,10.0,0.4974381228287602,232.0,6.974161968573488,193.0,10.0,33.0,0.8893845375890861,1,Critical Risk
Uttarakhand,Garhwal,4.0,0.43204384936523826,337.0,7.018617691833125,404.0,4.0,30.0,0.9579408653632012,1,Critical Risk
West Bengal,HOWRAH,1.0,0.44096241842308476,30.0,7.653479786280701,53.0,1.0,10.0,1.0361832445085666,1,Critical Risk
Jammu & Kashmir,Baramula,4.0,0.5307950545077038,69.0,5.979220621550765,105.0,4.0,28.0,1.065445849682215,1,Critical Risk
West Bengal,South 24 Pargana,1.0,0.7349373640384745,3.0,3.916691219392545,17.0,1.0,1.0,1.1412011380167744,1,Critical Risk
West Bangal,Hooghly,1.0,0.5145685488949441,34.0,4.5273500885098565,93.0,1.0,10.0,1.1492465959360552,1,Critical Risk
Telangana,Warangal (urban),1.0,0.7142857142857143,11.0,8.572892109110953,121.0,1.0,4.0,1.2282127638382914,1,Critical Risk
Jammu & Kashmir,Kargil,2.0,0.854846720105011,2.0,2.5,11.0,2.0,0.0,1.2842438894611385,1,Critical Risk
Maharashtra,Raigarh(MH),16.0,0.8086868634058044,500.0,6.302991611927702,853.0,16.0,24.0,1.339010940381172,1,Critical Risk
Andhra Pradesh,K.V.Rangareddy,14.0,0.7130111644619779,773.0,6.052016251345807,518.0,14.0,168.0,1.5638360995696055,1,Critical Risk
Jammu & Kashmir,Srinagar,1.0,1.0,16.0,5.353889367864523,10.0,1.0,3.0,1.6125349274421572,1,Critical Risk
Mizoram,Saitual,10.0,0.7947369703758317,77.0,6.264663667287161,127.0,3.0,37.0,1.6641105928316313,1,Critical Risk
Maharashtra,Washim *,4.0,0.7029613951368581,839.0,7.778546755350127,995.0,4.0,60.0,1.6855205287978274,1,Critical Risk
Uttar Pradesh,Bagpat,1.0,1.1111111111111112,8.0,2.668324026767549,10.0,1.0,2.0,1.7420885052995427,1,Critical Risk
Rajasthan,Jalore,196.0,1.0573720043864487,20.0,4.527781285310046,1036.0,183.0,3.0,1.77567840756161,1,Critical Risk
Maharashtra,Gondia,4.0,0.986054297404246,865.0,7.714432953369905,975.0,4.0,26.0,1.7942841707270982,1,Critical Risk
Jammu & Kashmir,Anantnag,1.0,1.1111111111111112,7.0,4.444444444444445,11.0,1.0,5.0,1.8532555131849628,1,Critical Risk
Karnataka,Chikmagalur,9.0,0.6738807097898509,1385.0,6.690447552749435,712.0,9.0,201.0,1.9032742555728275,1,Critical Risk
Andhra Pradesh,Karim Nagar,11.0,0.3626295383628987,1697.0,5.894976287690363,1151.0,11.0,387.0,1.9451807123328984,1,Critical Risk
Uttar Pradesh,Raebareli,3.0,1.3333333333333333,9.0,6.0,14.0,3.0,3.0,2.039891281707055,1,Critical Risk
West Bengal,hooghly,2.0,1.2864213722373603,40.0,4.656855121863108,79.0,2.0,8.0,2.084562682443052,1,Critical Risk
Bihar,Aurangabad(BH),3.0,1.4803208061410282,10.0,3.5555555555555554,24.0,3.0,1.0,2.2363446718238307,1,Critical Risk
Jammu & Kashmir,Badgam,2.0,1.4285714285714286,10.0,5.964296236882519,5.0,2.0,5.0,2.2371071770505657,1,Critical Risk
Tamil Nadu,Thiruvallur,144.0,1.195087389255711,2897.0,6.005638651507708,1823.0,134.0,939.0,2.2878830713863203,1,Critical Risk
West Bengal,Hawrah,3.0,1.545084971874737,13.0,7.950819672131147,32.0,3.0,3.0,2.3587340238303924,1,Critical Risk
Maharashtra,Gondiya *,4.0,1.1062343753740023,1408.0,8.546027783691843,2008.0,4.0,67.0,2.426907484304565,1,Critical Risk
West  Bengal,Hooghly,6.0,1.649183780789518,28.0,3.3804319807227867,107.0,6.0,6.0,2.5217831186979702,1,Critical Risk
Andhra Pradesh,K.v. Rangareddy,4.0,0.371736299689207,404.0,6.707425204127672,166.0,4.0,216.0,2.5747727241541325,1,Critical Risk
Odisha,jajpur,4.0,1.183769774439556,212.0,4.813621972501971,154.0,4.0,86.0,2.586509151092024,1,Critical Risk
West Bengal,Hugli,46.0,1.6188908537241493,439.0,5.348512478204899,1264.0,46.0,97.0,2.6216924583940986,1,Critical Risk
Gujarat,Surendranagar,671.0,1.4801422766707335,527.0,5.862521807369338,913.0,593.0,46.0,2.7022730139473405,1,Critical Risk
Gujarat,Panch Mahals,544.0,1.5745694083410238,327.0,7.569181978748954,417.0,444.0,22.0,2.7300891492399124,1,Critical Risk
Madhya Pradesh,Pandhurna,32.0,1.3505362958915201,377.0,5.863128778615055,821.0,4.0,78.0,2.8250724411619172,1,Critical Risk
Himachal Pradesh,Lahul & Spiti,2.0,0.5665232400628175,595.0,6.447083161847564,277.0,2.0,110.0,2.9118303074457605,1,Critical Risk
Punjab,Nawanshahr,23.0,1.5865600855791167,4189.0,8.546481212843668,2958.0,23.0,179.0,2.9155769528563873,1,Critical Risk
Tamil Nadu,Ranipet,14.0,1.0709316001369151,637.0,5.864608169138095,1390.0,13.0,423.0,2.9171392640096188,1,Critical Risk
Dadra & Nagar Haveli,Dadra & Nagar Haveli,3.0,1.3553221479051882,553.0,8.685730034795382,235.0,3.0,72.0,2.9443519932597946,1,Critical Risk
Haryana,Yamunanagar,3.0,0.7759283332638063,882.0,7.558426990046567,428.0,3.0,142.0,2.9552092577424642,1,Critical Risk
Tripura,Dhalai  *,4.0,0.7372836323628355,647.0,4.696303068467345,392.0,4.0,197.0,2.9642590033802736,1,Critical Risk
Uttar Pradesh,Kushinagar *,1.0,1.0300566479164912,79.0,2.0299117038514027,140.0,1.0,39.0,3.0000545623157766,1,Critical Risk
Jammu & Kashmir,Kupwara,1.0,2.0,3.0,6.0,7.0,1.0,0.0,3.0011040224636307,1,Critical Risk
Bihar,Sheikpura,18.0,2.001876715982979,133.0,9.22732474026281,178.0,18.0,5.0,3.0371275241980116,1,Critical Risk
Uttar Pradesh,Jyotiba Phule Nagar,23.0,2.02411324819775,177.0,5.260838251656765,605.0,23.0,20.0,3.1238342482007906,1,Critical Risk
Maharashtra,Ahmed Nagar,63.0,1.1490081330841198,5839.0,7.119281048009858,5595.0,63.0,1602.0,3.1256644498376693,1,Critical Risk
Karnataka,Gadag *,10.0,1.132644013692485,1340.0,6.4415763942523885,847.0,10.0,383.0,3.1917965634157524,1,Critical Risk
Maharashtra,Nandurbar *,34.0,2.1051190980136694,1645.0,8.838248852893193,600.0,33.0,16.0,3.251517222640081,1,Critical Risk
West Bengal,West Medinipur,1.0,2.2048120921154237,4.0,3.333333333333333,12.0,1.0,1.0,3.345695720374531,1,Critical Risk
Odisha,NUAPADA,4.0,1.8778213112843416,295.0,6.750016579533065,353.0,4.0,70.0,3.493242591270134,1,Critical Risk
Sikkim,Mangan,3.0,2.350014731635527,0.0,0.0,67.0,2.0,0.0,3.5312571559090236,1,Critical Risk
Jharkhand,Garhwa *,67.0,2.025267409168821,5584.0,8.52759358584976,2116.0,67.0,535.0,3.5665066056614645,1,Critical Risk
Assam,Bajali,10.0,2.319347920937323,23.0,5.912006004732021,844.0,8.0,6.0,3.56839545079909,1,Critical Risk
Jharkhand,Pashchimi Singhbhum,253.0,1.4396739397129805,14111.0,7.184384160410308,9157.0,252.0,3615.0,3.580132489151903,1,Critical Risk
Maharashtra,Dharashiv,55.0,2.121890102407258,643.0,6.420730914539624,3188.0,28.0,121.0,3.5914786906430476,1,Critical Risk
Jharkhand,Palamau,66.0,2.0930908181321173,2634.0,6.230431132559567,3686.0,66.0,496.0,3.724858484038095,1,Critical Risk
West Bengal,Darjiling,191.0,2.0112930266366447,2586.0,5.288122789333782,8271.0,189.0,541.0,3.8064665333291425,1,Critical Risk
Tamil Nadu,Kanchipuram,110.0,2.5,9.0,5.0,8.0,89.0,1.0,3.8189697667920535,1,Critical Risk
West Bengal,nadia,1.0,2.5728427444747206,7.0,10.0,13.0,1.0,0.0,3.8607985845368717,1,Critical Risk
Karnataka,Haveri *,6.0,1.2235110997814425,1417.0,7.300960357584991,964.0,6.0,333.0,3.9710476863446345,1,Critical Risk
Bihar,Purba Champaran,66.0,2.584912502916854,264.0,6.191624218365036,934.0,66.0,27.0,3.9968835112836874,1,Critical Risk
West Bengal,Jhargram,221.0,1.9930470454850386,4006.0,6.543321073772741,7258.0,171.0,1747.0,4.017241836190959,1,Critical Risk
Rajasthan,Dhaulpur,46.0,2.5922300281282955,400.0,4.300307015612469,488.0,46.0,117.0,4.046680608420542,1,Critical Risk
Rajasthan,Jhunjhunu,101.0,2.434527160719068,1941.0,6.163204030419332,2742.0,101.0,541.0,4.110350720872769,1,Critical Risk
Uttar Pradesh,Mahrajganj,9.0,2.7153467549544748,25.0,2.9457189905054455,44.0,9.0,11.0,4.126962149702317,1,Critical Risk
Karnataka,Bagalkot *,31.0,2.373399368676149,1725.0,7.126342911187151,1196.0,31.0,439.0,4.198360322771027,1,Critical Risk
Uttarakhand,Hardwar,28.0,2.5843494246373773,895.0,7.029106472202957,1187.0,28.0,196.0,4.2392203902351175,1,Critical Risk
Gujarat,Sabar Kantha,1354.0,2.271860129027297,617.0,6.201206148965832,643.0,1197.0,59.0,4.29387468941675,1,Critical Risk
Odisha,Anugul,35.0,2.4905349034780593,1860.0,7.165516150888886,1668.0,35.0,414.0,4.322291055904964,1,Critical Risk
Bihar,Purnea,88.0,2.4064003945300625,4954.0,6.986594170225617,2806.0,88.0,1027.0,4.326812085700098,1,Critical Risk
Karnataka,Chamarajanagar,17.0,2.1891695685708763,1845.0,6.067917837321251,1110.0,17.0,445.0,4.353890871966021,1,Critical Risk
Punjab,S.A.S Nagar(Mohali),36.0,2.5308664530339215,2735.0,7.822023803430324,2321.0,36.0,351.0,4.357448415705132,1,Critical Risk
West Bengal,South Dinajpur,71.0,2.4141097596142926,2125.0,6.878255339248529,6819.0,71.0,554.0,4.420199146673201,1,Critical Risk
Arunachal Pradesh,Shi-yomi,27.0,2.7126354380340563,529.0,9.071569657867807,238.0,22.0,210.0,4.459760775396275,1,Critical Risk
Jharkhand,Sahibganj,178.0,2.691348653486279,2097.0,7.073460727502464,2656.0,178.0,654.0,4.476696070516397,1,Critical Risk
Mizoram,Khawzawl,31.0,2.9530169748651174,8.0,7.570811482256824,35.0,7.0,6.0,4.482784749593406,1,Critical Risk
Arunachal Pradesh,Leparada,3.0,2.5728427444747206,36.0,6.983974953093664,23.0,2.0,34.0,4.492593294955607,1,Critical Risk
Karnataka,Davanagere,46.0,2.374982609850783,6251.0,7.7738931046558974,3186.0,46.0,806.0,4.507640205780501,1,Critical Risk
Arunachal Pradesh,Longding,756.0,2.5740089386073928,2599.0,8.032424239904307,1485.0,719.0,1611.0,4.532796503769427,1,Critical Risk
Andaman & Nicobar Islands,Andamans,5.0,1.289172487721385,2015.0,8.812908823567785,750.0,5.0,343.0,4.545795848477165,1,Critical Risk
Arunachal Pradesh,Pakke Kessang,2.0,2.3076923076923075,74.0,7.076001689797135,87.0,1.0,30.0,4.580278494587188,1,Critical Risk
Bihar,Monghyr,20.0,3.0282675284890295,99.0,6.767038584041751,282.0,20.0,5.0,4.583399014564319,1,Critical Risk
Bihar,Samstipur,41.0,3.0852838171040857,195.0,6.4751703521832455,448.0,41.0,13.0,4.696148485963196,1,Critical Risk
Karnataka,Chamrajnagar,24.0,2.445588040902034,2252.0,7.519185382108407,1936.0,24.0,603.0,4.761791202616368,1,Critical Risk
West Bengal,North Dinajpur,79.0,2.866847013074617,1195.0,5.929791175856778,4901.0,79.0,205.0,4.777077573869745,1,Critical Risk
Maharashtra,Mumbai( Sub Urban ),79.0,2.8415704961550317,4927.0,8.132482799948077,3641.0,79.0,454.0,4.808969850639186,1,Critical Risk
Nagaland,Tseminyu,25.0,3.125259215806287,186.0,3.5435436569866443,91.0,15.0,53.0,4.841914928520446,1,Critical Risk
Assam,Sribhumi,54.0,2.9690248610781986,357.0,6.957028771369302,5087.0,43.0,42.0,4.859167861854081,1,Critical Risk
Maharashtra,Chatrapati Sambhaji Nagar,97.0,2.784570091795509,2204.0,2.746375713184987,7640.0,81.0,413.0,4.946246355143494,1,Critical Risk
Dadra And Nagar Haveli And Daman And Diu,Diu,10.0,3.2301993472126225,33.0,4.58013009047309,364.0,6.0,13.0,4.955843232726881,1,Critical Risk
Telangana,Jangaon,15.0,3.077761341327701,280.0,7.492503686895283,802.0,15.0,128.0,4.997071814821827,1,Critical Risk
Jammu And Kashmir,Leh,43.0,2.3255304875725145,2564.0,8.164731737180924,1427.0,42.0,1641.0,5.079650957376828,1,Critical Risk
Uttar Pradesh,Bulandshahar,70.0,3.3132060836223913,220.0,5.421613841331424,663.0,70.0,61.0,5.090775656408434,1,Critical Risk
Rajasthan,Deeg,48.0,3.36365086475914,142.0,8.313785092565324,248.0,36.0,4.0,5.096810103153525,1,Critical Risk
Rajasthan,Deeg ,7.0,3.339952836955388,16.0,3.980774896782895,1051.0,7.0,3.0,5.0990169485249845,1,Critical Risk
Odisha,Anugal,2.0,3.4193868804200434,4.0,10.0,11.0,2.0,0.0,5.1310731428767475,1,Critical Risk
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,168.0,3.4191899389482256,0.0,0.0,0.0,141.0,0.0,5.232555203553831,1,Critical Risk
Punjab,Muktsar,28.0,2.4519865551970335,8879.0,7.566056719705022,3551.0,28.0,923.0,5.232829239578724,1,Critical Risk
Andhra Pradesh,Karimnagar,107.0,1.9515956593859694,17127.0,7.137977247349038,10331.0,107.0,4338.0,5.333541187261277,1,Critical Risk
Pondicherry,Karaikal,8.0,3.0489452074194645,2733.0,8.806706128596039,904.0,8.0,160.0,5.4042057154269445,1,Critical Risk
Kerala,Kasargod,64.0,3.4233403084723664,2138.0,7.08766305306955,1869.0,64.0,211.0,5.43921198779862,1,Critical Risk
Uttar Pradesh,Sant Ravidas Nagar Bhadohi,47.0,3.6048207556097016,110.0,6.495995516670669,297.0,47.0,47.0,5.4937696217579495,1,Critical Risk
Tamil Nadu,Kallakurichi,187.0,2.6703008836880975,4818.0,6.344141303113681,10790.0,149.0,2550.0,5.506316081182164,1,Critical Risk
Odisha,Baudh,33.0,2.8927374096685905,4845.0,6.842648364262402,1130.0,33.0,936.0,5.529959138201151,1,Critical Risk
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,106.0,3.423091717771616,281.0,6.649022697656059,5113.0,106.0,46.0,5.553262482369943,1,Critical Risk
Bihar,Bhabua,17.0,3.698047342876395,33.0,5.105959067381292,132.0,17.0,4.0,5.5752331188545785,1,Critical Risk
Jharkhand,Kodarma,126.0,3.2664404102916196,4898.0,5.825384750463609,3003.0,126.0,1247.0,5.587006070369567,1,Critical Risk
Bihar,Aurangabad(bh),61.0,3.6593283810138373,222.0,7.160506716995823,670.0,61.0,34.0,5.593245277345021,1,Critical Risk
Chhattisgarh,Narayanpur,314.0,2.1646426539633254,22173.0,5.402491428659321,16765.0,306.0,7156.0,5.614322121696453,1,Critical Risk
Jharkhand,Pakaur,100.0,3.3367426250185095,2484.0,6.030536152494236,3678.0,100.0,1049.0,5.719567702341865,1,Critical Risk
Sikkim,Namchi,21.0,3.8473782941862953,5.0,8.333333333333334,282.0,7.0,0.0,5.802529975855254,1,Critical Risk
